filename,title,date,section
BusinessLive - Tech firm Wise secures private equity deal - 6 December 2021.pdf,BusinessLive - Tech firm Wise secures private equity deal - 6 December 2021,2021-12-06,0
Great Place To Work - Wise - July 2024.pdf,Great Place To Work - Wise - July 2024,2024-07-01,0
Birmingham Business Post - Solihull technology firm celebrates outstanding employer award win - 22 September 2021.pdf,Birmingham Business Post - Solihull technology firm celebrates outstanding employer award win - 22 September 2021,2021-09-22,0
Business Live - Wise move for Solihull technology firm - 24 September 2021.pdf,Business Live - Wise move for Solihull technology firm - 24 September 2021,2021-09-24,0
Business Mondays - Solihull tech business scoops national business award - 28 October 2022.pdf,Business Mondays - Solihull tech business scoops national business award - 28 October 2022,2022-10-28,0
Greater Birmingham Chambers of Commerce - Solihull technology firm named digital startup of the year - 18 November 2021.pdf,Greater Birmingham Chambers of Commerce - Solihull technology firm named digital startup of the year - 18 November 2021,2021-11-18,0
GreenFleet - Shortlist revealed for Logistics Awards 2024 - 23 August 2024.pdf,GreenFleet - Shortlist revealed for Logistics Awards 2024 - 23 August 2024,2024-08-23,0
Inflexion - Inflexion announces investment into WithWise - December 2021.pdf,Inflexion - Inflexion announces investment into WithWise - December 2021,2021-12-01,0
LinkedIn - Andy Street's Post (A real hidden gem in Solihull) - 16 May 2023.pdf,LinkedIn - Andy Street's Post (A real hidden gem in Solihull) - 16 May 2023,2023-05-16,0
Logistics Business - Technology specialist scoops award - 25 October 2022.pdf,Logistics Business - Technology specialist scoops award - 25 October 2022,2022-10-25,0
Logistics UK - Logistics Awards 2023 Winners.pdf,Logistics UK - Logistics Awards 2023 Winners,2025-02-11,0
Logistics UK - Shortlist revealed for Logistics UK's Logistics Awards 2024 - 22 August 2024.pdf,Logistics UK - Shortlist revealed for Logistics UK's Logistics Awards 2024 - 22 August 2024,2024-08-22,0
Logistics Voices - Logistics technology specialist recognised as outstanding employer - 24 September 2021.pdf,Logistics Voices - Logistics technology specialist recognised as outstanding employer - 24 September 2021,2021-09-24,0
MarTech Awards _ Innovation in Business - Best Onboarding Software Solutions Company 2024 (UK) - 2024.pdf,MarTech Awards   Innovation in Business - Best Onboarding Software Solutions Company 2024 (UK) - 2024,2025-02-11,0
Solihull Observer - Solihull company wins West Midlands technology award - 29 November 2021.pdf,Solihull Observer - Solihull company wins West Midlands technology award - 29 November 2021,2021-11-29,0
Solihull Observer - Solihull tech business scoops national award - 6 November 2022.pdf,Solihull Observer - Solihull tech business scoops national award - 6 November 2022,2022-11-06,0
Technology Dispatch - Wise Named Among UK's Best Tech Employers - 6 October 2022.pdf,Technology Dispatch - Wise Named Among UK's Best Tech Employers - 6 October 2022,2022-10-06,0
The Business Desk - Fast-growth technology business Wise secures 'eight-figure' investment from Inflexion - 6 December 2021.pdf,The Business Desk - Fast-growth technology business Wise secures 'eight-figure' investment from Inflexion - 6 December 2021,2021-12-06,0
The Business Magazine - Former Tesco Mobile boss Lance Batchelor appointed tech firm chairman - 20 January 2022.pdf,The Business Magazine - Former Tesco Mobile boss Lance Batchelor appointed tech firm chairman - 20 January 2022,2022-01-20,0
The Business Magazine - It's great working at Solihull based tech recruitment company Wise - 20 September 2021.pdf,The Business Magazine - It's great working at Solihull based tech recruitment company Wise - 20 September 2021,2021-09-20,0
The Business Magazine - Solihull tech firm Wise scoops national business award - 7 November 2022.pdf,The Business Magazine - Solihull tech firm Wise scoops national business award - 7 November 2022,2022-11-07,0
The Daily Express - Mesmerising video shows Britain's most scenic delivery route through leafy mountains - 10 August 2022.pdf,The Daily Express - Mesmerising video shows Britain's most scenic delivery route through leafy mountains - 10 August 2022,2022-08-10,0
The Daily Mirror - City with the worst bosses - 24 January 2022.pdf,The Daily Mirror - City with the worst bosses - 24 January 2022,2022-01-24,0
The Daily Mirror - Mesmerising video shows Britain's most scenic delivery route through leafy mountains - 10 August 2022.pdf,The Daily Mirror - Mesmerising video shows Britain's most scenic delivery route through leafy mountains - 10 August 2022,2022-08-10,0
The Daily Star - Aha! Worst bosses are in Norwich; PARTRIDGE CITY TOPS TABLE - 24 January 2022.pdf,The Daily Star - Aha! Worst bosses are in Norwich; PARTRIDGE CITY TOPS TABLE - 24 January 2022,2022-01-24,0
The Daily Star - Mesmerising video shows Britain's most scenic delivery route through leafy mountains - 10 August 2022.pdf,The Daily Star - Mesmerising video shows Britain's most scenic delivery route through leafy mountains - 10 August 2022,2022-08-10,0
The Independent - Is this Britains most picturesque delivery route - 13 August 2022.pdf,The Independent - Is this Britains most picturesque delivery route - 13 August 2022,2022-08-13,0
The Express - Aha! Alan isn't the only bad boss in city - 24 January 2022.pdf,The Express - Aha! Alan isn't the only bad boss in city - 24 January 2022,2022-01-24,0
The Sun - 'Britain's best delivery route' shown in mesmerising video as van drives over Lake District's highest pass - 10 August 2022.pdf,The Sun - 'Britain's best delivery route' shown in mesmerising video as van drives over Lake District's highest pass - 10 August 2022,2022-08-10,0
The Sun - Norwich bosses worst in country - 24 January 2022.pdf,The Sun - Norwich bosses worst in country - 24 January 2022,2022-01-24,0
UK Transport Awards - Most Innovative Driver Recruitment Management System 2023 - 2023.pdf,UK Transport Awards - Most Innovative Driver Recruitment Management System 2023 - 2023,2025-02-11,0
vanfleetworld - Van fleets shortlisted for 2024 Logistics UK awards - 20 August 2024.pdf,vanfleetworld - Van fleets shortlisted for 2024 Logistics UK awards - 20 August 2024,2024-08-20,0
Warehouse News - Logistics technology firm ranked as one of UKs Best Tech Employers - 1 November 2022.pdf,Warehouse News - Logistics technology firm ranked as one of UKs Best Tech Employers - 1 November 2022,2022-11-01,0
